"Date","Number of Sales"
"2017-06-22",0
"2017-06-23",19
"2017-06-24",21
"2017-06-25",13
"2017-06-26",14
"2017-06-27",33
"2017-06-28",15
"2017-06-29",38
"2017-06-30",21
"2017-07-01",10
"2017-07-02",31
"2017-07-03",51
"2017-07-04",58
"2017-07-05",18
"2017-07-06",23
"2017-07-07",37
"2017-07-08",30
"2017-07-09",12
"2017-07-10",17
"2017-07-11",43
"2017-07-12",17
"2017-07-13",31
"2017-07-14",7
"2017-07-15",5
"2017-07-16",3
"2017-07-17",5
"2017-07-18",30
"2017-07-19",31
"2017-07-20",21
"2017-07-21",21
"2017-07-22",13
"2017-07-23",6
"2017-07-24",15
"2017-07-25",8
"2017-07-26",5
"2017-07-27",2
"2017-07-28",5
"2017-07-29",8
"2017-07-30",16
"2017-07-31",2
"2017-08-01",2
"2017-08-02",1
"2017-08-03",21
"2017-08-04",0
"2017-08-05",2
"2017-08-06",0
"2017-08-07",1
"2017-08-08",5
"2017-08-09",3
"2017-08-10",2
"2017-08-11",8
"2017-08-12",17
"2017-08-13",7
"2017-08-14",3
"2017-08-15",4
"2017-08-16",2
"2017-08-17",2
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",8
"2017-08-22",1
"2017-08-23",2
"2017-08-24",0
"2017-08-25",3
"2017-08-26",1
"2017-08-27",0
"2017-08-28",9
"2017-08-29",1
"2017-08-30",2
"2017-08-31",1
"2017-09-01",5
"2017-09-02",3
"2017-09-03",0
"2017-09-04",3
"2017-09-05",0
"2017-09-06",0
"2017-09-07",0
"2017-09-08",1
"2017-09-09",0
"2017-09-10",3
"2017-09-11",2
"2017-09-12",2
"2017-09-13",0
"2017-09-14",0
"2017-09-15",0
"2017-09-16",1
"2017-09-17",2
"2017-09-18",1
"2017-09-19",4
"2017-09-20",3
"2017-09-21",4
"2017-09-22",1
"2017-09-23",4
"2017-09-24",1
"2017-09-25",0
"2017-09-26",0
"2017-09-27",4
"2017-09-28",1
"2017-09-29",7
"2017-09-30",10
"2017-10-01",1
"2017-10-02",0
"2017-10-03",0
"2017-10-04",1
"2017-10-05",0
"2017-10-06",0
"2017-10-07",0
"2017-10-08",1
"2017-10-09",1
"2017-10-10",0
"2017-10-11",1
"2017-10-12",1
"2017-10-13",4
"2017-10-14",4
"2017-10-15",3
"2017-10-16",2
"2017-10-17",0
"2017-10-18",0
"2017-10-19",1
"2017-10-20",1
"2017-10-21",1
"2017-10-22",0
"2017-10-23",0
"2017-10-24",0
"2017-10-25",1
"2017-10-26",7
"2017-10-27",6
"2017-10-28",6
"2017-10-29",1
"2017-10-30",3
"2017-10-31",6
"2017-11-01",4
"2017-11-02",3
"2017-11-03",0
"2017-11-04",3
"2017-11-05",0
"2017-11-06",0
"2017-11-07",1
"2017-11-08",0
"2017-11-09",2
"2017-11-10",0
"2017-11-11",0
"2017-11-12",1
"2017-11-13",2
"2017-11-14",1
"2017-11-15",2
"2017-11-16",0
"2017-11-17",0
"2017-11-18",0
"2017-11-19",1
"2017-11-20",4
"2017-11-21",105
"2017-11-22",62
"2017-11-23",880
"2017-11-24",3093
"2017-11-25",2029
"2017-11-26",1247
"2017-11-27",968
"2017-11-28",1593
"2017-11-29",5385
"2017-11-30",8173
"2017-12-01",7833
"2017-12-02",13066
"2017-12-03",28773
"2017-12-04",38862
"2017-12-05",41907
"2017-12-06",32921
"2017-12-07",37690
"2017-12-08",44990
"2017-12-09",50530
"2017-12-10",52457
"2017-12-11",47031
"2017-12-12",38001
"2017-12-13",29646
"2017-12-14",31329
"2017-12-15",23011
"2017-12-16",27267
"2017-12-17",21234
"2017-12-18",19319
"2017-12-19",14214
"2017-12-20",20495
"2017-12-21",15836
"2017-12-22",16417
"2017-12-23",14726
"2017-12-24",12749
"2017-12-25",9877
"2017-12-26",7912
"2017-12-27",9152
"2017-12-28",9977
"2017-12-29",8463
"2017-12-30",6623
"2017-12-31",6961
"2018-01-01",7417
"2018-01-02",6658
"2018-01-03",3767
"2018-01-04",2604
"2018-01-05",2076
"2018-01-06",2879
"2018-01-07",3160
"2018-01-08",2550
"2018-01-09",1812
"2018-01-10",1366
"2018-01-11",2082
"2018-01-12",2526
"2018-01-13",2500
"2018-01-14",2796
"2018-01-15",1837
"2018-01-16",2042
"2018-01-17",2297
"2018-01-18",2730
"2018-01-19",3136
"2018-01-20",3222
"2018-01-21",3099
"2018-01-22",3048
"2018-01-23",2892
"2018-01-24",2655
"2018-01-25",2271
"2018-01-26",2785
"2018-01-27",3142
"2018-01-28",2698
"2018-01-29",2436
"2018-01-30",3009
"2018-01-31",2871
"2018-02-01",2083
"2018-02-02",2477
"2018-02-03",2336
"2018-02-04",2091
"2018-02-05",2308
"2018-02-06",3331
"2018-02-07",2935
"2018-02-08",2724
"2018-02-09",2825
"2018-02-10",2149
"2018-02-11",3389
"2018-02-12",3228
"2018-02-13",3643
"2018-02-14",5628
"2018-02-15",6416
"2018-02-16",5447
"2018-02-17",4349
"2018-02-18",4418
"2018-02-19",4991
"2018-02-20",4559
"2018-02-21",4059
"2018-02-22",3880
"2018-02-23",4178
"2018-02-24",8514
"2018-02-25",9200
"2018-02-26",6796
"2018-02-27",8463
"2018-02-28",7723
"2018-03-01",6152
"2018-03-02",4405
"2018-03-03",4443
"2018-03-04",5147
"2018-03-05",4417
"2018-03-06",3812
"2018-03-07",4802
"2018-03-08",6747
"2018-03-09",5952
"2018-03-10",9163
"2018-03-11",4438
"2018-03-12",4834
"2018-03-13",3758
"2018-03-14",4451
"2018-03-15",3936
"2018-03-16",3129
"2018-03-17",3766
"2018-03-18",2824
"2018-03-19",3127
"2018-03-20",3061
"2018-03-21",3381
"2018-03-22",3402
"2018-03-23",3156
"2018-03-24",3176
"2018-03-25",6329
"2018-03-26",3049
"2018-03-27",3454
"2018-03-28",3672
"2018-03-29",3850
"2018-03-30",5768
"2018-03-31",3171
"2018-04-01",2912
"2018-04-02",3208
"2018-04-03",3245
"2018-04-04",2995
"2018-04-05",2756
"2018-04-06",3813
"2018-04-07",2741
"2018-04-08",7486
"2018-04-09",5277
"2018-04-10",3279
"2018-04-11",3470
"2018-04-12",2943
"2018-04-13",6183
"2018-04-14",4886
"2018-04-15",3961
"2018-04-16",3791
"2018-04-17",5105
"2018-04-18",4154
"2018-04-19",3872
"2018-04-20",4073
"2018-04-21",2572
"2018-04-22",1816
"2018-04-23",1864
"2018-04-24",2221
"2018-04-25",2285
"2018-04-26",1794
"2018-04-27",3388
"2018-04-28",5275
"2018-04-29",9933
"2018-04-30",3351
"2018-05-01",2248
"2018-05-02",2107
"2018-05-03",1725
"2018-05-04",2856
"2018-05-05",3517
"2018-05-06",2830
"2018-05-07",2734
"2018-05-08",3724
"2018-05-09",2390
"2018-05-10",2090
"2018-05-11",2507
"2018-05-12",2274
"2018-05-13",1802
"2018-05-14",1409
"2018-05-15",1645
"2018-05-16",2454
"2018-05-17",3883
"2018-05-18",3377
"2018-05-19",3649
"2018-05-20",2663
"2018-05-21",1828
"2018-05-22",1852
"2018-05-23",1712
"2018-05-24",3036
"2018-05-25",2308
"2018-05-26",2745
"2018-05-27",2831
"2018-05-28",2101
"2018-05-29",4111
"2018-05-30",4535
"2018-05-31",3350
"2018-06-01",2879
"2018-06-02",2913
"2018-06-03",2328
"2018-06-04",2191
"2018-06-05",2514
"2018-06-06",2011
"2018-06-07",2173
"2018-06-08",2064
"2018-06-09",2781
"2018-06-10",2065
"2018-06-11",3381
"2018-06-12",2903
"2018-06-13",2272
"2018-06-14",1926
"2018-06-15",5253
"2018-06-16",2356
"2018-06-17",2435
"2018-06-18",2755
"2018-06-19",2764
"2018-06-20",1975
"2018-06-21",3089
"2018-06-22",5237
"2018-06-23",3028
"2018-06-24",3043
"2018-06-25",2574
"2018-06-26",2324
"2018-06-27",2428
"2018-06-28",2633
"2018-06-29",3298
"2018-06-30",2422
"2018-07-01",1333
"2018-07-02",699
"2018-07-03",625
"2018-07-04",755
"2018-07-05",1008
"2018-07-06",1716
"2018-07-07",1266
"2018-07-08",1785
"2018-07-09",2797
"2018-07-10",2047
"2018-07-11",2421
"2018-07-12",2988
"2018-07-13",3820
"2018-07-14",1616
"2018-07-15",1485
"2018-07-16",2185
"2018-07-17",1924
"2018-07-18",1882
"2018-07-19",2303
"2018-07-20",1910
"2018-07-21",2259
"2018-07-22",2292
"2018-07-23",2548
"2018-07-24",1921
"2018-07-25",2501
"2018-07-26",3437
"2018-07-27",4152
"2018-07-28",3147
"2018-07-29",2248
"2018-07-30",1862
"2018-07-31",2074
"2018-08-01",2561
"2018-08-02",2369
"2018-08-03",1777
"2018-08-04",2017
"2018-08-05",1847
"2018-08-06",1621
"2018-08-07",1421
"2018-08-08",1484
"2018-08-09",1409
"2018-08-10",1494
"2018-08-11",1877
"2018-08-12",2454
"2018-08-13",2732
"2018-08-14",3404
"2018-08-15",3433
"2018-08-16",3804
"2018-08-17",5230
"2018-08-18",6685
"2018-08-19",7233
"2018-08-20",3748
"2018-08-21",3760
"2018-08-22",2658
"2018-08-23",4318
"2018-08-24",5402
"2018-08-25",5112
"2018-08-26",3938
"2018-08-27",5094
"2018-08-28",4274
"2018-08-29",5092
"2018-08-30",8430
"2018-08-31",10761
"2018-09-01",9682
"2018-09-02",8213
"2018-09-03",7420
"2018-09-04",5083
"2018-09-05",5714
"2018-09-06",7389
"2018-09-07",8078
"2018-09-08",6189
"2018-09-09",9233
"2018-09-10",8159
"2018-09-11",10949
"2018-09-12",9916
"2018-09-13",4506
"2018-09-14",4829
"2018-09-15",3824
"2018-09-16",3321
"2018-09-17",3927
"2018-09-18",4325
"2018-09-19",5439
"2018-09-20",4504
"2018-09-21",5392
"2018-09-22",7145
"2018-09-23",5567
"2018-09-24",4892
"2018-09-25",4815
"2018-09-26",5906
"2018-09-27",6263
"2018-09-28",3690
"2018-09-29",4303
"2018-09-30",5025
"2018-10-01",4445
"2018-10-02",3160
"2018-10-03",3821
"2018-10-04",4363
"2018-10-05",7436
"2018-10-06",4533
"2018-10-07",4536
"2018-10-08",4288
"2018-10-09",3753
"2018-10-10",4361
"2018-10-11",6344
"2018-10-12",4728
"2018-10-13",4013
"2018-10-14",3335
"2018-10-15",3155
"2018-10-16",3394
"2018-10-17",5564
"2018-10-18",3505
"2018-10-19",8104
"2018-10-20",4712
"2018-10-21",5542
"2018-10-22",4242
"2018-10-23",5234
"2018-10-24",4301
"2018-10-25",3569
"2018-10-26",4597
"2018-10-27",5453
"2018-10-28",4303
"2018-10-29",4311
"2018-10-30",3829
"2018-10-31",3768
"2018-11-01",3962
"2018-11-02",3852
"2018-11-03",4633
"2018-11-04",4581
"2018-11-05",4405
"2018-11-06",3718
"2018-11-07",5327
"2018-11-08",3751
"2018-11-09",3554
"2018-11-10",4138
"2018-11-11",4108
"2018-11-12",4029
"2018-11-13",5329
"2018-11-14",5403
"2018-11-15",10364
"2018-11-16",6512
"2018-11-17",4950
"2018-11-18",4660
"2018-11-19",4033
"2018-11-20",4107
"2018-11-21",6276
"2018-11-22",6789
"2018-11-23",4610
"2018-11-24",4610
"2018-11-25",5216
"2018-11-26",5845
"2018-11-27",6274
"2018-11-28",5221
"2018-11-29",4535
"2018-11-30",6056
"2018-12-01",10858
"2018-12-02",7615
"2018-12-03",7155
"2018-12-04",6472
"2018-12-05",13658
"2018-12-06",5589
"2018-12-07",6474
"2018-12-08",4504
"2018-12-09",4469
"2018-12-10",3162
"2018-12-11",3567
"2018-12-12",3972
"2018-12-13",5579
"2018-12-14",4876
"2018-12-15",6318
"2018-12-16",6175
"2018-12-17",4799
"2018-12-18",3751
"2018-12-19",4143
"2018-12-20",4957
"2018-12-21",7030
"2018-12-22",3820
"2018-12-23",7272
"2018-12-24",4057
"2018-12-25",3172
"2018-12-26",2962
"2018-12-27",2894
"2018-12-28",3283
"2018-12-29",3124
"2018-12-30",3093
"2018-12-31",3406
"2019-01-01",2479
"2019-01-02",2685
"2019-01-03",2733
"2019-01-04",2777
"2019-01-05",2835
"2019-01-06",2758
"2019-01-07",3186
"2019-01-08",2374
"2019-01-09",2413
"2019-01-10",3489
"2019-01-11",8554
"2019-01-12",5919
"2019-01-13",5515
"2019-01-14",4628
"2019-01-15",4247
"2019-01-16",4449
"2019-01-17",3772
"2019-01-18",4607
"2019-01-19",4245
"2019-01-20",4723
"2019-01-21",4339
"2019-01-22",2480
"2019-01-23",3065
"2019-01-24",3874
"2019-01-25",3313
"2019-01-26",7303
"2019-01-27",6948
"2019-01-28",4899
"2019-01-29",3295
"2019-01-30",3380
"2019-01-31",3028
"2019-02-01",3828
"2019-02-02",4164
"2019-02-03",4775
"2019-02-04",3266
"2019-02-05",3083
"2019-02-06",2554
"2019-02-07",2809
"2019-02-08",3214
"2019-02-09",5870
"2019-02-10",5787
"2019-02-11",4639
"2019-02-12",3899
"2019-02-13",3822
"2019-02-14",4660
"2019-02-15",3757
"2019-02-16",6600
"2019-02-17",5166
"2019-02-18",4616
"2019-02-19",2711
"2019-02-20",2971
"2019-02-21",3585
"2019-02-22",4356
"2019-02-23",4979
"2019-02-24",3976
"2019-02-25",4177
"2019-02-26",4623
"2019-02-27",2879
"2019-02-28",2428
"2019-03-01",3763
"2019-03-02",5567
"2019-03-03",6981
"2019-03-04",5352
"2019-03-05",4875
"2019-03-06",5139
"2019-03-07",5734
"2019-03-08",6660
"2019-03-09",6270
"2019-03-10",5063
"2019-03-11",4084
"2019-03-12",4504
"2019-03-13",3999
"2019-03-14",3921
"2019-03-15",4648
"2019-03-16",7478
"2019-03-17",6664
"2019-03-18",5295
"2019-03-19",5089
"2019-03-20",4946
"2019-03-21",4526
"2019-03-22",4996
"2019-03-23",6145
"2019-03-24",6337
"2019-03-25",5312
"2019-03-26",4873
"2019-03-27",4506
"2019-03-28",4160
"2019-03-29",26715
"2019-03-30",9623
"2019-03-31",10874
"2019-04-01",8093
"2019-04-02",5483
"2019-04-03",4319
"2019-04-04",3869
"2019-04-05",3741
"2019-04-06",4371
"2019-04-07",4218
"2019-04-08",2967
"2019-04-09",3455
"2019-04-10",3575
"2019-04-11",3114
"2019-04-12",3751
"2019-04-13",6591
"2019-04-14",7284
"2019-04-15",3789
"2019-04-16",3971
"2019-04-17",4388
"2019-04-18",4483
"2019-04-19",5071
"2019-04-20",4676
"2019-04-21",4597
"2019-04-22",3990
"2019-04-23",3836
"2019-04-24",3852
"2019-04-25",3958
"2019-04-26",3675
"2019-04-27",4644
"2019-04-28",4641
"2019-04-29",3854
"2019-04-30",4081
"2019-05-01",5263
"2019-05-02",4878
"2019-05-03",4213
"2019-05-04",4950
"2019-05-05",4451
"2019-05-06",3691
"2019-05-07",2316
"2019-05-08",4131
"2019-05-09",4141
"2019-05-10",5416
"2019-05-11",7329
"2019-05-12",5501
"2019-05-13",4691
"2019-05-14",3917
"2019-05-15",2465
"2019-05-16",2266
"2019-05-17",3524
"2019-05-18",3703
"2019-05-19",3780
"2019-05-20",3418
"2019-05-21",3234
"2019-05-22",3282
"2019-05-23",3010
"2019-05-24",4356
"2019-05-25",5078
"2019-05-26",4813
"2019-05-27",4551
"2019-05-28",5268
"2019-05-29",4784
"2019-05-30",5834
"2019-05-31",4679
"2019-06-01",2907
"2019-06-02",3000
"2019-06-03",2939
"2019-06-04",2489
"2019-06-05",3231
"2019-06-06",2685
"2019-06-07",3864
"2019-06-08",3133
"2019-06-09",4793
"2019-06-10",3031
"2019-06-11",3601
"2019-06-12",3826
"2019-06-13",4270
"2019-06-14",3424
"2019-06-15",3394
"2019-06-16",4091
"2019-06-17",3037
"2019-06-18",3031
"2019-06-19",2946
"2019-06-20",2245
"2019-06-21",3286
"2019-06-22",3870
"2019-06-23",3759
"2019-06-24",3815
"2019-06-25",2836
"2019-06-26",2781
"2019-06-27",1795
"2019-06-28",1831
"2019-06-29",2854
"2019-06-30",2010
"2019-07-01",1500
"2019-07-02",1518
"2019-07-03",1747
"2019-07-04",2529
"2019-07-05",2124
"2019-07-06",3045
"2019-07-07",2885
"2019-07-08",2583
"2019-07-09",2951
"2019-07-10",2667
"2019-07-11",1910
"2019-07-12",2449
"2019-07-13",2786
"2019-07-14",2715
"2019-07-15",2520
"2019-07-16",1165
"2019-07-17",2755
"2019-07-18",4327
"2019-07-19",2979
"2019-07-20",4776
"2019-07-21",4772
"2019-07-22",3486
"2019-07-23",3690
"2019-07-24",2849
"2019-07-25",2554
"2019-07-26",4096
"2019-07-27",3949
"2019-07-28",3922
"2019-07-29",3901
"2019-07-30",4235
"2019-07-31",3635
"2019-08-01",3127
"2019-08-02",2892
"2019-08-03",3470
"2019-08-04",3709
"2019-08-05",3277
"2019-08-06",2127
"2019-08-07",2824
"2019-08-08",2860
"2019-08-09",2801
"2019-08-10",2149
"2019-08-11",2376
"2019-08-12",2458
"2019-08-13",2589
"2019-08-14",2793
"2019-08-15",2609
"2019-08-16",2709
"2019-08-17",3691
"2019-08-18",3779
"2019-08-19",2417
"2019-08-20",6991
"2019-08-21",4670
"2019-08-22",4032
"2019-08-23",4031
"2019-08-24",5462
"2019-08-25",3609
"2019-08-26",2456
"2019-08-27",4205
"2019-08-28",3830
"2019-08-29",3435
"2019-08-30",3775
"2019-08-31",5670
"2019-09-01",5220
"2019-09-02",4430
"2019-09-03",3133
"2019-09-04",2968
"2019-09-05",2130
"2019-09-06",1508
"2019-09-07",1507
"2019-09-08",1449
"2019-09-09",1408
"2019-09-10",1177
"2019-09-11",1265
"2019-09-12",1310
"2019-09-13",1287
"2019-09-14",2876
"2019-09-15",2557
"2019-09-16",1252
"2019-09-17",1083
"2019-09-18",1148
"2019-09-19",1123
"2019-09-20",885
"2019-09-21",2346
"2019-09-22",2102
"2019-09-23",1503
"2019-09-24",1234
"2019-09-25",1082
"2019-09-26",1136
"2019-09-27",1004
"2019-09-28",2047
"2019-09-29",2573
"2019-09-30",2144
"2019-10-01",3805
"2019-10-02",3603
"2019-10-03",4050
"2019-10-04",3317
"2019-10-05",3456
"2019-10-06",2805
"2019-10-07",3118
"2019-10-08",3249
"2019-10-09",5455
"2019-10-10",4060
"2019-10-11",5089
"2019-10-12",3221
"2019-10-13",3171
"2019-10-14",3450
"2019-10-15",4653
"2019-10-16",3470
"2019-10-17",4656
"2019-10-18",4165
"2019-10-19",3940
"2019-10-20",8557
"2019-10-21",3150
"2019-10-22",3241
"2019-10-23",2256
"2019-10-24",2286
"2019-10-25",2678
"2019-10-26",3990
"2019-10-27",3599
"2019-10-28",3832
